url,registrar,label
http://httpp-roblox.co/users/272262810/profile,spaceship,1
https://membereg.com/outlook/en-us/microsoft-365/outlook/log-in.html,namecheap,1
https://www.jamuna.tv,namecheap,0
https://www.wincert.net,dynadot,0
http://www.mail.cozyreview.com,hostinger operations uab,1
https://www.mishtann.com,pdr d/b/a publicdomainregistrycom,0
https://www.idonate.com,namecheap,0
http://www.joia-data.com,hostinger operations uab,1
https://icloudoficial.com/?i=JiZQC,gransy sro,1
https://www.myhappyjourney.com,pdr d/b/a publicdomainregistrycom,0
http://import-verifi-aci0ncl1p.iceiy.com/,porkbun,1
http://www.krestinaful.com,dynadot,1
https://www.aromaandessence.com,namecheap,0
https://gateway.pinata.cloud/ipfs/qmqj5rhlnturuszk5ozugv96dayjdwxdyqp7jnzdsvzeuh?_gl=1*19revru*_ga*mja1mtaxmda3mi4xnjc1ndi4ndk4*_ga_5rmpxg14te*mty3nzg1mtaxns4xmy4xlje2nzc4ntewodaunjaumc4w#9,namecheap,1
http://www.44ctct.com,gnamecom pte,1
http://www.smeemail.com,namecheap,1
http://j71a.vip/,namemart pte,1
http://www.onurtel.com,realtime register bv,1
https://mastadjabu.com/wp-content/upgrade/porti/,namecheap,1
https://www.rapidtvnews.com,spaceship,0
http://kasdadfd.com/,namecheap,1
http://www.v.nnncity.xyz,gmo internet group d/b/a onamaecom,1
http://galabet88.net/,namesilo,1
http://www.newkano.com,web commerce communications dba webniccc,1
http://www.frc-conf.com,namecheap,1
https://www.civilology.com,dynadot,0
https://www.womanpilot.com,namesilo,0
http://www.static.help-naver.com,namecheap,1
https://www.friv.com,namecheap,0
https://digitalehealthsolutions.com/,namecheap,1
http://www.onedrivebusiness.com,unstoppable domains,1
https://www.donationalerts.com,namecheap,0
http://www.shaishavchildrights.org,hostinger operations uab,1
http://connectwallet.42web.io/,namecheap,1
https://varq.org/wp-admin/Empire_Digital_Products,pdr d/b/a publicdomainregistrycom,1
http://www.co.nu,internetx gmbh,1
http://www.flash.governmentmm.com,dynadot,1
https://livecamacademy.com/authdocs-29392-938203,namesilo,1
http://www.strangled.net,porkbun,1
https://storageapi.fleek.co/b620e7da-f4f5-4e6e-8d8e-8c4c3783180b-bucket/vat4/index.html,1api gmbh,1
https://al-akshaintl.com/wp-includes/ydfsdj456/docusign.html,namecheap,1
http://www.yudaria.com,registrar of domain names regru,1
http://m.annasinai.com/,turingsign d/b/a cosmotown,1
http://www.allez.la,namesilo,1
http://j65h.vip/,namemart pte,1
https://www.girlfriendsgiftshop.com,pdr d/b/a publicdomainregistrycom,0
https://www.grokcode.com,namecheap,0
http://www.polyboatowners.com,namecheap,1
https://ipfs.fleek.co/ipfs/qmbm4uxxs4v8yqakzb3n4tzv9cmfzrwsnxf2rp31uo1ur7,1api gmbh,1
http://www.nursesweekparty.com,dynadot,1
http://641641645414.hyperphp.com/,namecheap,1
http://www.s3.pampopholf.com,dynadot,1
https://www.alelion.com,namecheap,0
http://galabet38.net/,namecheap,1
http://www.donatewa.phpnet.us,namecheap,1
http://www.ttkplc.com,porkbun,1
http://www.ymokymakyfe.biz,dynadot,1
https://www.kuula.co,1api gmbh,0
http://www.4everproxy.com,porkbun,1
https://icloudoficial.com/expire/?5,gransy sro,1
http://www.virtualansweringservice.com/netsalesrep/,namecheap,1
https://gateway.pinata.cloud/ipfs/bafybeifaepewbypikaxmjs6hipa3unjqoqggurgxnzcqomfqkawatnyztm/qy.html,namecheap,1
http://www.updatecatalogs.com,dynadot,1
https://storageapi-stg.fleek.co/658cc2d7-a8b0-49b3-9d5a-059aa2304a35-bucket/whuch.html,1api gmbh,1
https://www.xatakandroid.com,namecheap,0
http://www.john1715.com,pdr d/b/a publicdomainregistrycom,1
http://j70j.vip/,namemart pte,1
https://www.odonatologica.com,realtime register bv,0
http://www.nicegames4u.com,cnobin information technology,1
http://www.cachevideo.online,dynadot,1
https://prtue6sy56users.boxmode.io/,url solutions,1
http://www.555700.com,namesilo,1
https://siasky.net/mac-vbhq5a1eyo524co6rtddnladglfzz1zebgibe5pfsw,namecheap,1
http://www.proxyscope.com,namesilo,1
http://www.cecambrils.cat,hosting concepts bv d/b/a registrareu,1
http://www.chinaplandexpo.com,dynadot,1
http://www.snsagro.in,hostinger operations uab,1
http://www.entrydns.org,global domain group,1
https://geminiilogonus.mystrikingly.com/,namecheap,1
http://www.digitalmarketingnews.net,dynadot,1
https://storageapi.fleek.co/008009aa-0c78-42dc-a70d-c23181f54038-bucket/validatesession24/index.html,1api gmbh,1
https://www.cheekylime.com,namesilo,0
https://www.codetoinspire.org,1api gmbh,0
https://www.contact-emails.com,gnamecom pte,0
https://www.sslchecker.com,namecheap,0
https://www.europadreaming.eu,1api gmbh,0
http://www.sponsorplay.com,dynadot,1
http://www.tbbbet.com/,gnamecom pte,1
https://gateway.pinata.cloud/ipfs/bafybeicut2gtz2rcrdw2vby4vlndj2ehe7ph64scqtjwjqw6kcpy6esdti/solution.html,namecheap,1
http://www.123xxbb.com,namesilo,1
https://www.marketingsherpa.com,internet domain service bs,0
https://www.youradulttoystore.com,namecheap,0
https://www.hoopscooponline.com,namecheap,0
https://www.narimadison.org,namecheap,0
http://www.donate.crypto-webminer.com,1api gmbh,1
https://www.ogtstore.com,namecheap,0
http://www.sportask.org,registrar of domain names regru,1
http://zun888.cc/index.html,dynadot,1
https://www.booksmartapp.com,namecheap,0
http://www.037yu.xyz,namesilo,1
http://auvieuxgassin-restaurant.com/,dynadot,1
http://www.boosting.online,pdr d/b/a publicdomainregistrycom,1
https://www.adhrrf.org,namecheap,0
https://www.thecrowdfundingformula.com,pdr d/b/a publicdomainregistrycom,0
https://www.avirtualvoyage.net,namesilo,0
https://magyarposta-hu.unaux.com/,namesilo,1
https://www.shorthairmodels.com,pdr d/b/a publicdomainregistrycom,0
